Angarian, Bugallon, 1,672
Asinan, Bugallon, 1,911
Bacabac, Bugallon, 2,105
Banaga, Bugallon, 1,969
Bolaoen, Bugallon, 2,148
Buenlag, Bugallon, 1,630
Cabayaoasan, Bugallon, 1,904
Cayanga, Bugallon, 2,707
Gueset, Bugallon, 2,438
Hacienda, Bugallon, 3,575
Laguit Centro, Bugallon, 1,672
Laguit Padilla, Bugallon, 3,364
Magtaking, Bugallon, 5,898
Pangascasan, Bugallon, 1,822
Pantal, Bugallon, 1,909
Poblacion, Bugallon, 9,999
Polong, Bugallon, 2,702
Portic, Bugallon, 2,264
Salasa, Bugallon, 2,927
Salomague Norte, Bugallon, 1,334
Salomague Sur, Bugallon, 2,902
Samat, Bugallon, 1,776
San Francisco, Bugallon, 1,407
Umanday, Bugallon, 5,313
Anapao (Bur Anapac), Burgos, 476
Cacayasen, Burgos, 1,559
Concordia, Burgos, 1,133
Don Matias, Burgos, 1,438
Ilio‑ilio (Iliw-iliw), Burgos, 2,275
Papallasen, Burgos, 1,718
Poblacion, Burgos, 3,180
Pogoruac, Burgos, 2,405
San Miguel, Burgos, 1,088
San Pascual, Burgos, 1,491
San Vicente, Burgos, 910
Sapa Grande, Burgos, 1,321
Sapa Pequeña, Burgos, 970
Tambacan, Burgos, 1,673
Ambonao, Calasiao, 6,209
Ambuetel, Calasiao, 2,877
Banaoang, Calasiao, 4,682
Bued, Calasiao, 5,589
Buenlag, Calasiao, 8,338
Cabilocaan, Calasiao, 2,899
Dinalaoan, Calasiao, 3,850
Doyong, Calasiao, 3,528
Gabon, Calasiao, 2,631
Lasip, Calasiao, 3,947
Longos, Calasiao, 3,051
Lumbang, Calasiao, 2,041
Macabito, Calasiao, 4,025
Malabago, Calasiao, 4,106
Mancup, Calasiao, 3,458
Nagsaing, Calasiao, 6,056
Nalsian, Calasiao, 5,341
Poblacion East, Calasiao, 1,693
Poblacion West, Calasiao, 903
Quesban, Calasiao, 2,921
San Miguel, Calasiao, 7,860
San Vicente, Calasiao, 1,629
Songkoy, Calasiao, 2,869
Talibaew, Calasiao, 4,651
Bacayao Norte, Dagupan, 3,476
Bacayao Sur, Dagupan, 2,686
Barangay I (T. Bugallon), Dagupan, 664
